id	GSM868548_NR	GSM868549_NR	GSM868551_NR	GSM868557_NR	GSM868561_NR	GSM868563_NR	GSM868564_NR	GSM868565_NR	GSM868566_NR	GSM868569_NR	GSM868571_NR	GSM868574_NR	GSM868579_NR	GSM868582_NR	GSM868584_NR	GSM868590_NR	GSM868591_NR	GSM1103624_NR	GSM1103639_NR	GSM1103640_NR	GSM1103643_NR	GSM1103645_NR	GSM1103647_NR	GSM1103649_NR	GSM1103657_NR	GSM1103658_NR	GSM1103659_NR	GSM1103664_NR	GSM3374353_NR	GSM3374354_NR	GSM3374357_NR	GSM3374359_NR	GSM3374360_NR	GSM3374361_NR	GSM3374363_NR	GSM3374364_NR	GSM3374365_NR	GSM3374367_NR	GSM3374371_NR	GSM3374373_NR	GSM3374374_NR	GSM3374375_NR	GSM3374376_NR	GSM3374377_NR	GSM3374378_NR	GSM3374380_NR	GSM3374381_NR	GSM3374382_NR	GSM3374384_NR	GSM3374387_NR	GSM3374392_NR	GSM3374400_NR	GSM3374402_NR	GSM3374403_NR	GSM3374405_NR	GSM3374406_NR	GSM3374407_NR	GSM3374408_NR	GSM3374409_NR	GSM3374410_NR	GSM868553_R	GSM868554_R	GSM868555_R	GSM868560_R	GSM868567_R	GSM868568_R	GSM868570_R	GSM868572_R	GSM868573_R	GSM868575_R	GSM868577_R	GSM868578_R	GSM868580_R	GSM868585_R	GSM868586_R	GSM868588_R	GSM1103623_R	GSM1103626_R	GSM1103630_R	GSM1103633_R	GSM1103634_R	GSM1103635_R	GSM1103636_R	GSM1103644_R	GSM1103646_R	GSM1103650_R	GSM1103651_R	GSM1103652_R	GSM1103653_R	GSM3374350_R	GSM3374356_R	GSM3374362_R	GSM3374366_R	GSM3374368_R	GSM3374369_R	GSM3374370_R	GSM3374386_R	GSM3374396_R	GSM3374401_R	GSM3374413_R	GSM3374414_R	CGSM3374386_R	CGSM868553_R	CGSM1103646_R	CGSM868575_R	CGSM3374370_R	CGSM1103626_R	CGSM1103644_R	CGSM868570_R	CGSM3374401_R	CGSM868567_R	CGSM868585_R	CGSM1103633_R	CGSM1103650_R	CGSM3374414_R	CGSM868586_R	CGSM868555_R	CGSM868573_R	CGSM868560_R	CGSM3374362_R
IRF9	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1
PARP9	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1
CMPK2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1
LILRB4	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1
RABEP1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0
CYBB	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1
RBP4	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1
WISP3	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0
COLEC11	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1
HIST1H2BG	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0
PCDHGA10	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0
SLC44A5	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
ARHGEF4	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1
PEG10	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0
