id	GSM868548_NR	GSM868549_NR	GSM868551_NR	GSM868557_NR	GSM868561_NR	GSM868563_NR	GSM868564_NR	GSM868565_NR	GSM868566_NR	GSM868569_NR	GSM868571_NR	GSM868574_NR	GSM868579_NR	GSM868582_NR	GSM868584_NR	GSM868590_NR	GSM868591_NR	GSM1103624_NR	GSM1103639_NR	GSM1103640_NR	GSM1103643_NR	GSM1103645_NR	GSM1103647_NR	GSM1103649_NR	GSM1103657_NR	GSM1103658_NR	GSM1103659_NR	GSM1103664_NR	GSM3374353_NR	GSM3374354_NR	GSM3374357_NR	GSM3374359_NR	GSM3374360_NR	GSM3374361_NR	GSM3374363_NR	GSM3374364_NR	GSM3374365_NR	GSM3374367_NR	GSM3374371_NR	GSM3374373_NR	GSM3374374_NR	GSM3374375_NR	GSM3374376_NR	GSM3374377_NR	GSM3374378_NR	GSM3374380_NR	GSM3374381_NR	GSM3374382_NR	GSM3374384_NR	GSM3374387_NR	GSM3374392_NR	GSM3374400_NR	GSM3374402_NR	GSM3374403_NR	GSM3374405_NR	GSM3374406_NR	GSM3374407_NR	GSM3374408_NR	GSM3374409_NR	GSM3374410_NR	GSM868553_R	GSM868554_R	GSM868555_R	GSM868560_R	GSM868567_R	GSM868568_R	GSM868570_R	GSM868572_R	GSM868573_R	GSM868575_R	GSM868577_R	GSM868578_R	GSM868580_R	GSM868585_R	GSM868586_R	GSM868588_R	GSM1103623_R	GSM1103626_R	GSM1103630_R	GSM1103633_R	GSM1103634_R	GSM1103635_R	GSM1103636_R	GSM1103644_R	GSM1103646_R	GSM1103650_R	GSM1103651_R	GSM1103652_R	GSM1103653_R	GSM3374350_R	GSM3374356_R	GSM3374362_R	GSM3374366_R	GSM3374368_R	GSM3374369_R	GSM3374370_R	GSM3374386_R	GSM3374396_R	GSM3374401_R	GSM3374413_R	GSM3374414_R	CGSM3374386_R	CGSM868553_R	CGSM1103646_R	CGSM868575_R	CGSM3374370_R	CGSM1103626_R	CGSM1103644_R	CGSM868570_R	CGSM3374401_R	CGSM868567_R	CGSM868585_R	CGSM1103633_R	CGSM1103650_R	CGSM3374414_R	CGSM868586_R	CGSM868555_R	CGSM868573_R	CGSM868560_R	CGSM3374362_R
COLEC11	5.80584483460998	4.88333623147833	6.82048023708688	5.0148504463191	5.93713403494061	5.16935335702444	5.18127117284084	5.06418367001025	5.16370547991044	5.0233971156512	5.31871778376148	5.51914425999383	5.61861267848462	5.21004315716293	5.55647703237181	5.32761273330567	5.39414754349208	5.39929694214566	6.52432777391755	5.27266182268475	5.25823809849695	7.2367453387604	5.49673658991106	4.84391034799621	5.67489542942705	5.73197929105168	5.51174930560907	4.57659667591072	6.14434021241954	5.58121918354721	5.30313688273715	5.17588715744819	5.60167477223926	4.76931334897597	5.49963076871103	5.6354574529525	5.06051827428314	5.29391058052305	5.68668074119294	5.25295531892705	5.29808821336065	5.1413515876349	4.99908511965129	5.57502428024315	4.74687860571152	5.45869572316877	5.03810590139367	5.12126536304028	5.74477739482156	5.49689443447702	5.06792040947982	6.25890435760073	4.82793274939028	4.82588025325301	5.3060277746169	5.46679538427837	5.99249633897328	5.28996465464885	5.03041864456322	5.43177798905837	4.99492052658461	4.72190298222467	4.89728043219006	5.29030204402305	5.21651443790132	5.10934658542927	4.60591106520514	5.43767420569876	4.72137484803258	5.08391766428161	4.99841934294449	4.89958269747786	5.087130537308	5.27652229847993	4.81850136186831	5.68884868239931	5.2361021917982	4.85027650474986	4.75906870143295	5.09170376924441	5.11035472695771	5.24953089772153	5.76745883635478	5.36727699526705	5.34079512784346	5.16610010865335	5.08282731290569	4.84239753985133	5.10812403681991	5.99734082820751	5.87850638684196	5.01028837787554	5.07052685598759	5.27583608380315	5.41964087130478	4.65436318361314	4.47191253451666	5.21022681216787	4.85355226366753	5.0859001149799	5.04260717833199	4.47191253451666	4.99492052658461	5.34079512784346	5.08391766428161	4.65436318361314	4.85027650474986	5.36727699526705	4.60591106520514	4.85355226366753	5.21651443790132	5.27652229847993	5.09170376924441	5.16610010865335	5.04260717833199	4.81850136186831	4.89728043219006	4.72137484803258	5.29030204402305	5.01028837787554
PARP9	7.52359964969382	8.4808576537947	7.88224886087319	7.713769441268	8.06459189713075	8.2744183910358	7.22238440558753	8.30219029685609	7.66407130818822	7.48986362134743	8.4149167739676	7.89445821818261	7.03656647621112	7.4789216468589	7.92888242142762	8.47245173882369	6.42728235792649	8.48297601937844	8.13664292498772	7.51457777627672	7.09603738079393	8.20756951383328	8.12760678549513	8.1936701576672	8.10732395379581	7.51556836819357	7.71560402268418	6.86412630751703	7.96717275095459	8.53495947109345	7.00308971512405	7.0909713631882	7.66633240384868	7.46374953295525	7.69474105420824	7.59213845905592	8.13326404250165	8.14774273923249	8.05509216242613	7.73584705652161	8.35081426605394	7.41178223118395	7.33241868934794	7.20629861702604	7.67419322636955	8.21784993041038	7.38385910730585	8.38415441152947	8.2447514949977	8.0167695368623	7.18935829167316	8.0343803561082	8.31348542790518	8.1972825343905	7.47131697233473	7.71002998984367	7.8783766992234	8.07533352104123	8.11354224703482	7.56443860724933	8.73683321736734	8.60624355399487	7.91184483264219	8.2458230053312	8.06733202637503	7.5002386336419	8.03958897525136	8.09630437466539	8.63435409225752	8.35416088866503	7.83558257105424	7.77163809226456	8.30986192790955	8.17782049771279	8.5860164238912	8.16867591772396	7.73751299978458	6.78849107440072	8.30186211127694	7.4516222562766	9.0925354040409	7.80575613916707	7.07799869590395	8.37088804248483	8.5183778947749	9.03532799730267	8.77350834601388	8.82415591243176	7.44918823063162	8.37352431123846	9.00382729738085	9.09843674292528	7.82425876316972	9.08645213456176	7.50648809837284	7.36409925074056	8.79914691354556	8.07602338038978	8.09395547321491	8.94615829362219	8.57159929761323	8.79914691354556	8.73683321736734	8.5183778947749	8.35416088866503	7.36409925074056	6.78849107440072	8.37088804248483	8.03958897525136	8.09395547321491	8.06733202637503	8.17782049771279	7.4516222562766	9.03532799730267	8.57159929761323	8.5860164238912	7.91184483264219	8.63435409225752	8.2458230053312	9.09843674292528
USP18	5.81213379456366	5.57543803539659	5.5163978334811	5.2029278690891	5.83100098527095	6.39957355599694	5.71574207853242	4.95106377924195	6.03153074897801	6.20680963678286	7.26906911352375	5.95358665360861	4.85048014492649	5.37018833441954	5.64699126182486	5.63818202153215	5.09072825131734	5.47978210570166	6.30634131033998	5.18279436369613	5.18433926693752	5.30750632826131	6.88810846234108	6.32140664195089	5.18966186646342	5.09513681946234	5.15088251571571	5.162965331391	6.13423740588436	7.04435148941896	5.58972414989893	4.98025294880029	5.47930451891119	4.17956637409479	6.06920546395708	5.09412108404641	5.57681026858875	6.3435069340432	6.01957516853866	6.10627136381721	6.29858320449013	5.39012133481716	4.83355306602946	5.4549803950866	4.87724987774548	6.29770826308072	5.4673091977147	6.40151658456032	6.00022090343129	4.30475362877187	5.07923527895345	5.84876377916198	6.08171351429441	6.19931870302559	5.53597105933143	5.37827024855377	5.65151385335437	5.70234333474549	6.26402530717356	5.03135430738367	6.86964129204065	5.52652906344078	4.89919223145813	6.01719538562491	6.15528462798571	5.104954145905	5.3543445969023	6.54104885023954	7.21149998678496	6.13324072101009	5.97681810137311	5.83809992187565	6.79167967772682	5.82428479261939	6.81903547988417	5.89695020472071	5.96148714961851	5.27346496786534	6.13645422471195	6.03391116412737	7.65503482687984	4.92542129770443	4.66702359242555	5.70788249902949	6.38457164400572	7.76904152544538	6.82850500138872	5.91833962442478	5.06592487158716	5.66983806479047	6.92292003948301	6.99039055551716	5.44761215306181	6.93468013815544	6.55693506822479	5.73450127942027	6.37970941112841	6.20182022904671	6.46755151124836	7.40546201225776	6.32117760325878	6.37970941112841	6.86964129204065	6.38457164400572	6.13324072101009	5.73450127942027	5.27346496786534	5.70788249902949	5.3543445969023	6.46755151124836	6.15528462798571	5.82428479261939	6.03391116412737	7.76904152544538	6.32117760325878	6.81903547988417	4.89919223145813	7.21149998678496	6.01719538562491	6.99039055551716
TNFSF8	4.54404821335937	4.87381196891838	4.96759072853905	4.82077431494731	4.73562860465023	4.70587341991323	4.76419028138078	5.02019228879837	4.80695909973279	5.40302359496157	4.9808627292333	5.60248235008316	5.14998781020422	5.12351674952721	5.05457958659144	4.89608307335697	5.10873647935344	5.02317782194733	5.39862197525716	5.01401771047472	4.98908585086791	5.67500607404791	4.82677378962478	4.77998607938715	5.00962401142232	5.25872572213542	4.76180839908354	4.63570021135036	5.30707834372618	5.48030154189677	4.73778311507741	4.89306294372933	4.77280666351812	5.47574866580313	5.88393125297415	3.92493719571978	5.01792953700959	4.89348200265544	4.79200505358524	4.26166599511435	4.98083978944555	4.84892150009021	4.57383305625175	4.8426010470477	5.04543491940476	5.10133183677653	4.9314701425248	5.18178681899934	4.7247469561356	5.49993094170715	4.43064174013659	4.69179460728486	4.2500130122192	4.65585142771333	5.70924300504004	5.03431044684471	5.35210024394263	5.46921540273156	4.93633356998615	5.40405531065177	4.57207793927052	4.8154552396704	5.48478768663297	5.5439427359861	5.19254656628707	6.28512135641771	5.37997109588018	4.90782222887681	4.91446795884708	5.47448745421479	5.08294067344008	4.80537788138978	4.66929992710296	5.1745829448185	5.49174481662666	5.24968041512949	4.88270596590328	5.58957380334909	5.1314193302274	5.84170987308474	5.18262014791754	4.79670504243805	5.03098480334379	5.21757245322294	5.47166631860785	5.24115953744217	4.65420405546982	5.84145361317037	4.64659894924044	5.1920103089881	5.39375814556708	5.30449081670381	5.33817256024488	5.67470917993929	5.38561064977776	4.64040091226828	6.77020188586844	5.29265288031327	5.08034443490941	5.48529722692698	5.45863504673769	6.77020188586844	4.57207793927052	5.47166631860785	5.47448745421479	4.64040091226828	5.58957380334909	5.21757245322294	5.37997109588018	5.08034443490941	5.19254656628707	5.1745829448185	5.84170987308474	5.24115953744217	5.45863504673769	5.49174481662666	5.48478768663297	4.91446795884708	5.5439427359861	5.30449081670381
WISP3	6.1914646516481	3.0267982513038	4.38291207224143	3.6948891223236	5.85893857145813	6.16548957262627	6.64110872581141	2.99584437049735	3.01016733944901	2.77058712119126	6.12772067024519	4.34416002805832	2.92792618841205	2.85986900115226	5.70677160656438	7.5229104108347	5.3576393408691	3.21467093808437	3.46868802584448	3.20269230523929	3.19252335102254	3.49083463403965	3.14447515844897	6.66351351889395	3.30269214228741	3.1939175826971	3.0142332362176	3.14768346674509	3.89996274607156	4.2478080668644	4.01447406276938	3.75469660037174	3.67739690340801	4.05131592754463	4.10257981107352	4.03568765598263	4.7348407854769	3.69362197131765	4.18678687212485	4.21796802369395	4.24595687156567	4.2084756135329	4.61686626642793	4.86982040073064	3.90218690581677	3.80775711943379	3.03451592750113	3.79301538889297	3.70648300468508	3.58691082962818	3.96828661179166	4.24084886581933	4.45665042106828	4.68742907391722	3.71845869979908	3.87284474199767	4.11153241049801	4.42228363427023	4.22750517203497	3.78880163639201	2.98322842430659	3.15721977867243	3.14053271857436	3.01784392632533	4.46638875260825	3.13595799263471	2.73387818695007	3.35732845073173	3.27964515800019	2.99413337197283	2.8278495496286	2.64803183091644	2.95753875651119	2.84333970197319	3.02134063215672	2.9761290474793	3.28223843422108	3.339828837908	3.44807583899528	3.1939175826971	3.41074592611847	3.17359524677482	6.8185079364537	3.41203544666612	3.41055484117286	4.61692717528082	3.16006584125395	3.16932309807174	4.27014177452625	3.74818408046052	3.80907374591431	3.73095784557104	4.23093407361117	3.64583452650845	3.90007803132161	3.91579724976601	3.3298342209026	3.67414079191795	3.70219334561917	3.87284474199767	4.39554786910213	3.3298342209026	2.98322842430659	3.41055484117286	2.99413337197283	3.91579724976601	3.339828837908	3.41203544666612	2.73387818695007	3.70219334561917	4.46638875260825	2.84333970197319	3.1939175826971	4.61692717528082	4.39554786910213	3.02134063215672	3.14053271857436	3.27964515800019	3.01784392632533	3.73095784557104
RSAD2	5.67355815730345	5.10534036978785	5.48547179219941	4.74303170583743	5.88291789081311	6.32037689307623	5.21722360076676	5.66276600164811	5.70577721002816	5.68082346815976	8.81105226134098	6.01594012017972	5.1376950121336	5.05972889709776	5.33855506601643	5.2788211978591	3.90234615182387	6.9927966275563	7.60977398338042	5.24986227860624	4.94265443597299	4.52917404330243	6.89552611310239	4.87153838269731	5.07590635848188	5.15846880807921	5.28020366840518	4.86749790415701	6.36944311144611	7.10103362000902	4.83871522604427	6.84920649554714	5.36931694272671	4.58306303309519	5.98327006462406	5.0565985222452	5.53259005237886	7.85420094630724	5.59991178427706	6.14957974535938	7.28933956984001	5.40077578691179	4.46990475207746	4.1288733160927	4.82970796066361	6.62323781167461	4.59961533080112	5.97343586335765	3.99818672333593	4.30099906318558	4.52204542599346	6.04440972411245	6.47386979577	6.44686767134664	5.22945612272117	5.41493737003027	4.96696157025791	5.85555112853769	4.99358692425565	5.7955158115204	6.4979146767114	4.66669598149218	5.72477591005333	6.90419731356774	5.97979196887162	4.39192459519472	5.814481334856	7.32313394832901	7.38101748255947	7.6065390316045	6.89407691135541	6.15944347255444	7.73611195953209	6.0891910601683	6.11515890408358	6.5533458768511	5.08989325767395	4.91517527350896	5.36792351416344	5.08736242766375	8.20650022655493	4.71072017254806	4.67602135488555	5.60522808005446	7.48974493860404	8.596697643932	7.27117154088816	5.30457763011643	5.6000612379762	6.2991548426065	9.01312619006753	6.93869471819566	5.63944974158296	8.47158759166314	5.1736093252324	4.06560617750506	7.74913878743701	7.15818481915337	7.61586496374427	8.66294370350974	5.3324438060437	7.74913878743701	6.4979146767114	7.48974493860404	7.6065390316045	4.06560617750506	4.91517527350896	5.60522808005446	5.814481334856	7.61586496374427	5.97979196887162	6.0891910601683	5.08736242766375	8.596697643932	5.3324438060437	6.11515890408358	5.72477591005333	7.38101748255947	6.90419731356774	6.93869471819566
CMPK2	6.50231108263869	6.87259178251024	7.1016850266629	6.33288518413106	7.12733843667837	7.23740612536941	5.63454796922848	6.84470221069929	7.81135188953102	6.75144184257198	10.2594028627293	7.20749516521706	6.12870113381442	7.11109138135765	7.60181485052487	7.07142799904105	5.29645881094836	7.53536697433695	8.35102351706719	5.6850567169454	6.39611412021066	7.25809531210876	8.09254305792483	6.04328071853856	7.16830136636582	6.6847619525765	7.10069538911688	5.52156158851822	7.3516225520109	8.1368846842965	6.06296571232073	6.44991980171991	6.99776972497311	5.7827809501917	6.95341241166618	6.99794854831211	6.54544465395087	8.14674949302811	7.2415264378035	8.57253129999708	9.04363006702901	6.63128206072504	5.19963327861063	4.28571377576255	6.39900795135164	7.90378275193615	6.90467128949248	7.46954056223741	7.28347812275293	7.59114421753548	5.6907088425729	7.39247792327925	7.55268773338693	7.57057330595858	6.83243251031919	6.90655927083831	6.77475844554617	6.55008354192503	7.7162796711867	7.3882506850823	8.28240177386409	6.90305176785385	6.10591084958265	7.57946865420348	6.86487354321838	6.68460474053887	6.96451948020145	8.50665486643229	8.05011096598876	8.41538457104366	7.74780154509774	7.50134715591619	7.97280892807321	7.96391933112105	8.51435613881567	7.12378580570493	7.3357768878175	6.36823483041166	6.36383843198247	6.63897833926066	8.83768877709763	5.57248490884083	6.93895437726047	7.75864787972799	7.92313803811945	10.0118272347189	8.52150692899423	7.52868305489913	6.49654662332313	7.13547105340874	9.0677970822228	8.16702890826661	6.94855677782625	8.91985493209175	7.26332864902632	6.02570105760921	8.11481942954477	7.86791485620503	8.45626056294341	9.43464645718583	7.98003643166057	8.11481942954477	8.28240177386409	7.92313803811945	8.41538457104366	6.02570105760921	6.36823483041166	7.75864787972799	6.96451948020145	8.45626056294341	6.86487354321838	7.96391933112105	6.63897833926066	10.0118272347189	7.98003643166057	8.51435613881567	6.10591084958265	8.05011096598876	7.57946865420348	8.16702890826661
CYBB	6.46356995661931	6.1875447321638	6.28128812473263	6.69189251257252	6.92046846935881	6.64815385185093	6.01749629506634	7.41095163849255	6.72321752276944	8.05928291856256	5.27654545749072	8.36994188044176	6.08409790691906	7.35110743108683	6.60530336454082	5.9497167293933	5.27744326152976	5.90471225321177	6.07230348742718	7.06784336861157	6.64497997025349	6.18776295101233	6.96166112705456	6.81666294079091	5.6470493925556	5.55358080114652	6.70525521480157	5.23011348930452	8.42499837621186	8.92590979439762	6.03609160825428	6.45096283663404	6.13427128585916	6.10038790909945	6.78052819393553	5.56874815332342	5.82658441798004	6.99059402624991	5.98479096978165	5.12738134712447	5.81872870191044	5.96527258325471	5.66075925014113	5.68649227134538	5.55687991198734	6.29483861934868	7.67631197497399	7.6321312724955	7.34014612161169	7.84086184220576	6.32672894451555	6.28373133205546	6.3068904625976	6.23209830556285	7.3223842749911	7.06946984149	6.91018720134838	7.16677238427376	6.58841401237748	6.64519565048497	6.82954914154302	6.22673785208437	6.58086572218887	7.44508446652921	7.58688289572179	7.34319521232598	7.59856107694374	6.42457221706504	7.0557880378962	7.71766252520621	7.2955916209172	6.88545771119085	7.77039981573105	6.63644022427094	5.91976389395692	6.91638752177179	8.65346049826494	6.82382289612296	6.75722576558078	6.51871649238753	7.9905373786571	6.12951362502561	6.60814773367194	7.83476445802375	8.05898373210728	6.79153726573571	6.89623683010301	6.50700591893103	7.17318916896458	7.90289292021259	8.25921700326051	6.92353597925957	6.6859794510327	7.81225142713777	6.40216527640794	5.42180817474893	8.87598018544419	7.17431334933982	6.29863973561995	7.18383616561012	6.65521959239359	8.87598018544419	6.82954914154302	8.05898373210728	7.71766252520621	5.42180817474893	6.82382289612296	7.83476445802375	7.59856107694374	6.29863973561995	7.58688289572179	6.63644022427094	6.51871649238753	6.79153726573571	6.65521959239359	5.91976389395692	6.58086572218887	7.0557880378962	7.44508446652921	6.92353597925957
TAC1	5.27341641861381	7.17558695329988	6.60277163669344	4.6319296234385	2.49897737755847	2.56531470663173	2.52503212585722	3.3933566483348	3.29416202230389	2.94560260383723	6.56882606121274	2.80312040235388	2.75921921535664	4.63634047908292	2.4745423885452	2.71688606907732	6.92122456192103	5.83967804844166	3.13020966938279	6.13591445139511	2.85058099271746	3.38820940275716	3.28158316459866	2.74734758252822	3.01985147189353	2.99168199657284	2.8353510116596	3.09164971596491	3.50255904865928	4.44953630478175	2.69928393789455	2.60605985447593	6.92135232946585	4.00482861448099	2.62773809080601	2.5144606856899	2.82178574658575	2.43735204732815	7.29740129025112	6.43975431968773	2.15122563780506	2.16530212286565	6.73669013080266	5.40963116556833	7.091858184982	4.14686039466034	4.44683965699641	3.07578275685214	2.14862023211811	4.36203895119534	2.2166588809195	2.48369189691069	2.51729544218629	2.74789482964053	4.71695801640282	3.66639155694794	4.67757848219996	5.10395616335452	3.78358600128914	4.1509609207244	2.60404618634601	2.6418207646496	4.83390291705022	2.69564889077811	2.94199357925529	2.61864585046341	2.23374040945257	3.2924285629721	2.05386783356179	2.6523579010406	2.33336001200249	3.11865769607765	4.17095500774199	3.00219117463344	2.88067212191117	3.14072657550496	3.53791225536558	2.91592219326676	3.58447134162545	3.19083998264436	3.14855933670317	3.13394144645736	3.43019658470046	3.13362397589697	2.94776036787688	4.71398084865108	3.15847153497712	3.18035384026919	3.73804145121887	2.20912752605895	2.43488749717483	2.53392997910076	3.34802103701254	2.76566724968319	2.64061020626785	1.91658202724197	3.42556397393354	3.54743895317067	4.81974201013288	4.4805091888507	2.03314590878153	3.42556397393354	2.60404618634601	2.94776036787688	2.6523579010406	1.91658202724197	2.91592219326676	3.13362397589697	2.23374040945257	4.81974201013288	2.94199357925529	3.00219117463344	3.19083998264436	4.71398084865108	2.03314590878153	2.88067212191117	4.83390291705022	2.05386783356179	2.69564889077811	2.53392997910076
BATF2	7.17701736907184	8.14642938869881	7.50720797526833	7.05983408952803	6.55296754180718	7.59901665258716	6.67091141231374	8.7704227782142	7.17121868835904	7.63586929562895	7.45112441823888	7.16215825582212	7.15471074837206	6.78483451978753	5.60640484520772	7.03096659655992	6.8521265941106	7.60824619090665	7.7167117691293	6.58969611155726	7.59347490559025	6.81445453926709	7.1777389249264	7.92603661323181	7.48021724141409	6.72015353814514	7.28802376948551	6.59145396923851	7.62032694794967	8.56333422704274	7.11721622427842	7.34890809455757	8.00724432562976	7.98804473193194	7.22589872547261	8.0472206692814	8.59875661933775	7.84706591240547	7.98342888213247	8.2279339482418	7.86041775518134	6.8123536637156	6.46977805544462	7.5502449432065	7.89213281700677	8.20714812087871	7.15505099592889	7.69312704011679	6.65841808608137	7.57222461209879	7.1497435281235	7.40380337665381	7.78941925433077	7.79909720576071	6.55685826311749	6.89754569278012	6.89867170439866	6.83475743242721	7.6898624546417	7.11410148542891	7.8944060641143	7.58418556515089	7.69269097795304	7.46441035590979	7.88212616403466	7.07946040057133	8.01614840497783	8.0048199854189	8.47589340427362	8.6738210350514	7.28933591876511	6.91685135566863	7.39845164049868	7.57860604565741	7.82975357733619	7.87320179159796	7.18256196462129	6.67038541741643	7.66295784610125	7.52790124682179	7.9884287635345	8.18868328099425	7.15133533658134	7.97661278344621	7.53213563093421	8.12754531565867	9.77642425727742	8.21472427199098	7.62770100503482	7.51794403669444	7.67864356973709	9.47239568173971	7.28375056933977	8.28741266723936	7.84433746832102	7.90014024164482	6.89226090100177	7.35787393681024	6.94954366369953	7.09201202464913	9.14259277471477	6.89226090100177	7.8944060641143	7.53213563093421	8.6738210350514	7.90014024164482	6.67038541741643	7.97661278344621	8.01614840497783	6.94954366369953	7.88212616403466	7.57860604565741	7.52790124682179	8.12754531565867	9.14259277471477	7.82975357733619	7.69269097795304	8.47589340427362	7.46441035590979	9.47239568173971
