id	GSM3374384_NR	GSM3374365_NR	GSM868548_NR	GSM1103657_NR	GSM868569_NR	GSM3374364_NR	GSM1103624_NR	GSM3374410_NR	GSM3374381_NR	GSM1103649_NR	GSM868564_NR	GSM3374405_NR	GSM3374407_NR	GSM3374409_NR	GSM3374380_NR	GSM1103640_NR	GSM1103658_NR	GSM868551_NR	GSM3374414_R	GSM1103646_R	GSM1103651_R	GSM3374370_R	GSM3374386_R	GSM3374356_R	CGSM868575_R	GSM868567_R	GSM1103633_R	GSM3374368_R	GSM1103652_R	GSM3374413_R	GSM868555_R	GSM3374366_R	CGSM3374386_R	GSM1103644_R	GSM3374350_R	CGSM868553_R
ITGAL_Bcells	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1
CCL5_Bcells	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0
IFIT5_Bcells	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1
IRF9_Bcells	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1
ARHGAP25_Bcells	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0
SASH3_Bcells	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0
PTPRCAP_Bcells	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0
CD38_Bcells	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0
CD8A_Bcells	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1
CCR5_Bcells	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0
CD200_Bcells	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0
CCL11_Bcells	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0
NKG7_Bcells	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0
AIF1_Bcells	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0
HIST1H2AC_Bcells	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1
PID1_Bcells	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0
APOL3_Bcells	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0
C1QC_Bcells	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1
RCSD1_Bcells	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0
LOC283070_Bcells	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0
ERAP2_Bcells	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1
GGTA1P_Bcells	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0
CAMK1D_Bcells	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1
PIK3CG_Bcells	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0
TIGIT_Bcells	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0
C22orf39_Epithelialcells	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0
TK1_Epithelialcells	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1
TRIM69_Epithelialcells	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1
CCND2_Epithelialcells	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1
LIPA_Epithelialcells	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0
LY6E_Epithelialcells	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1
CELF2_Epithelialcells	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1
TAP1_Epithelialcells	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1
