id	GSM3374358_NR	GSM3374379_NR	GSM1103629_NR	GSM3374398_NR	GSM868583_NR	GSM3374411_NR	GSM3374355_NR	GSM1103627_NR	GSM3374388_NR	GSM1103655_NR	GSM868587_NR	GSM1103631_NR	GSM868550_NR	GSM1103660_NR	GSM1103632_NR	GSM1103654_NR	GSM868552_NR	GSM1103648_NR	GSM3374394_NR	GSM3374372_NR	GSM1103662_NR	GSM3374404_NR	GSM1103641_NR	GSM1103663_NR	GSM868576_NR	GSM868589_R	GSM868562_R	GSM1103642_R	GSM868556_R	GSM3374415_R	GSM868581_R	GSM3374352_R	GSM1103628_R	GSM868558_R	GSM3374412_R	GSM1103637_R	GSM1103638_R	GSM868593_R	GSM868592_R	GSM1103625_R	GSM868559_R	GSM1103656_R
C22orf39	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0
ITGAL	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	1
TK1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1
CCL5	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1
RP11-389C8.2	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0
TRIM69	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
WARS	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1
STAT1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1
CCND2	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1
HLA-DPB1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1
BGN	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1
UBE2L6	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1
LAPTM5	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1
SH3BP5	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0
LIPA	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1
MX1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	1
LY6E	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1
