id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Mean_NR	Mean_R
COLEC11_Epithelialcells	-0.0677152828133254	6.13188461874184	-4.14656543760976	8.17629142324157e-05	0.00257232560300659	-31.1508923307851	6.165742	6.098027
FAM43A_Epithelialcells	0.806166889675743	6.79233919073128	3.88316706416673	0.000207715265655206	0.00597527580868144	-32.0454262773516	6.389256	7.195423
PCDHB16_Epithelialcells	-0.426843652568456	3.95590829003064	-3.86948930444802	0.000217806633146463	0.00606345562598056	-32.0907860585261	4.169330	3.742486
PCDHGA10_Epithelialcells	-0.206723039220091	5.66664061986659	-3.77307373152637	0.000303441120092644	0.00806750705255761	-32.4073657862373	5.770002	5.563279
PSMB9_Myeloids	-0.0889456671484776	10.5087772608914	-3.76823617019904	0.000308490999692238	0.00806750705255761	-32.4231023093754	10.55325	10.46430
WISP3_Epithelialcells	-0.647299838511178	4.65356225744693	-3.58740241663038	0.000566473679540784	0.0120896793091813	-33.0009797147895	4.977212	4.329912
MYO1F_Myeloids	0.0486390157079679	10.6215965949747	3.58322167801886	0.000574364833924024	0.0120896793091813	-33.014096863286	10.59728	10.64592
KRT14_Epithelialcells	-0.117736606011042	3.99651844882155	-3.54174538419414	0.000658504750016917	0.0135307047443952	-33.1436231547227	4.055387	3.937650
CD38_Bcells	0.127164671417304	10.5946936452463	3.4267249942678	0.000957084013566706	0.0192084535746062	-33.496978059016	10.53111	10.65828
DGCR6_Epithelialcells	0.196330018589986	7.95833801859436	3.39369797395184	0.00106403957389121	0.0199623076580026	-33.5968285965763	7.860173	8.056503
EFNA5_Epithelialcells	-0.312777078670059	5.96290161567605	-3.38178939787082	0.00110529444320802	0.020295087329543	-33.6326530501437	6.119290	5.806513
COL9A3_Tcells	-0.560638905078413	8.9840943935905	-3.26082471907543	0.00161880207852374	0.0273926704659997	-33.991110029075	9.264414	8.703775
CD74_Tcells	0.324936639316876	15.2443603041936	3.24478606920221	0.00170167539636104	0.0282412666742226	-34.0378852106195	15.08189	15.40683
HABP2_Epithelialcells	-0.353754119176272	5.06925555232222	-3.23724467998085	0.00174200110286098	0.0283612054774777	-34.0598173656895	5.246133	4.892378
APOL3_Epithelialcells	0.271360779968429	5.94797925857535	3.23126150787282	0.00177462931145283	0.0283612054774777	-34.0771897677472	5.812299	6.083660
TNFSF8_Epithelialcells	0.0326557734524737	5.18740893814577	3.19153592004952	0.00200620100643092	0.0305535799703631	-34.1919019203631	5.171081	5.203737
CYBB_Myeloids	0.182899486849109	10.405951140794	3.18962492232601	0.00201802324253846	0.0305535799703631	-34.1973923126183	10.3145	10.4974
CR1_Myeloids	0.155519947767637	8.7044342041449	3.16396208597901	0.00218322191683072	0.0319342460038121	-34.2708741510172	8.626674	8.782194
PSMB9_Tcells	0.397528994944585	12.4050980927165	3.13758120210833	0.00236613741376363	0.0335126980718506	-34.3459273632154	12.20633	12.60386
SLC15A3_Epithelialcells	0.124789191974853	6.11442051591043	3.13721139825217	0.00236880021133591	0.0335126980718506	-34.3469759437736	6.052026	6.176815
TAP2_Epithelialcells	0.0670011192328044	7.64838006012093	3.13052787532347	0.0024174094729417	0.0336487802443337	-34.3659103563332	7.614880	7.681881
CRYBB2_Epithelialcells	0.321255754788956	6.50283522671259	3.11874889511763	0.0025053477987533	0.0343192881003825	-34.3992028244573	6.342207	6.663463
AKR1C4_Epithelialcells	-0.513145069803612	4.40993170949483	-3.09202062327006	0.00271606142144051	0.0353040355575359	-34.4743810283764	4.666504	4.153359
KIF13A_Epithelialcells	0.236249060431886	9.23293403057549	3.08900185913556	0.00274086950446687	0.0353040355575359	-34.4828397070578	9.114810	9.351059
RUNX3_Epithelialcells	0.957503167751663	5.8511391604011	3.07126496299044	0.00289093916574659	0.0366894191182251	-34.5324068107804	5.372388	6.329891
